properties{
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  min_layer = 0,
  max_layer = 2,
  tileset = "oh_indoors_cabin",
}

tile{
  layer = 0,
  x = 40,
  y = 32,
  width = 240,
  height = 176,
  pattern = "ground1.1",
}

tile{
  layer = 0,
  x = 40,
  y = 8,
  width = 80,
  height = 32,
  pattern = "wall.up.2",
}

tile{
  layer = 0,
  x = 8,
  y = 8,
  width = 32,
  height = 32,
  pattern = "corner.in.4",
}

tile{
  layer = 0,
  x = 280,
  y = 8,
  width = 32,
  height = 32,
  pattern = "corner.in.1",
}

tile{
  layer = 0,
  x = 8,
  y = 200,
  width = 32,
  height = 32,
  pattern = "corner.in.3",
}

tile{
  layer = 0,
  x = 280,
  y = 200,
  width = 32,
  height = 32,
  pattern = "corner.in.2",
}

tile{
  layer = 0,
  x = 8,
  y = 40,
  width = 32,
  height = 160,
  pattern = "wall.left.2",
}

tile{
  layer = 0,
  x = 280,
  y = 40,
  width = 32,
  height = 160,
  pattern = "wall.right.2",
}

tile{
  layer = 0,
  x = 168,
  y = 200,
  width = 112,
  height = 32,
  pattern = "wall.down.2",
}

tile{
  layer = 0,
  x = 88,
  y = 56,
  width = 16,
  height = 16,
  pattern = "226",
}

tile{
  layer = 0,
  x = 72,
  y = 56,
  width = 16,
  height = 16,
  pattern = "225",
}

tile{
  layer = 0,
  x = 56,
  y = 56,
  width = 16,
  height = 16,
  pattern = "224",
}

tile{
  layer = 0,
  x = 56,
  y = 72,
  width = 16,
  height = 96,
  pattern = "223",
}

tile{
  layer = 0,
  x = 56,
  y = 168,
  width = 16,
  height = 16,
  pattern = "222",
}

tile{
  layer = 0,
  x = 72,
  y = 72,
  width = 16,
  height = 96,
  pattern = "230",
}

tile{
  layer = 0,
  x = 72,
  y = 168,
  width = 16,
  height = 16,
  pattern = "229",
}

tile{
  layer = 0,
  x = 88,
  y = 168,
  width = 16,
  height = 16,
  pattern = "228",
}

tile{
  layer = 0,
  x = 88,
  y = 72,
  width = 16,
  height = 96,
  pattern = "227",
}

tile{
  layer = 0,
  x = 200,
  y = 56,
  width = 8,
  height = 24,
  pattern = "217",
}

tile{
  layer = 0,
  x = 208,
  y = 56,
  width = 48,
  height = 24,
  pattern = "219",
}

tile{
  layer = 0,
  x = 256,
  y = 56,
  width = 8,
  height = 24,
  pattern = "218",
}

tile{
  layer = 0,
  x = 200,
  y = 104,
  width = 8,
  height = 24,
  pattern = "217",
}

tile{
  layer = 0,
  x = 208,
  y = 104,
  width = 48,
  height = 24,
  pattern = "219",
}

tile{
  layer = 0,
  x = 256,
  y = 104,
  width = 8,
  height = 24,
  pattern = "218",
}

tile{
  layer = 0,
  x = 200,
  y = 152,
  width = 8,
  height = 24,
  pattern = "217",
}

tile{
  layer = 0,
  x = 208,
  y = 152,
  width = 48,
  height = 24,
  pattern = "219",
}

tile{
  layer = 0,
  x = 256,
  y = 152,
  width = 8,
  height = 24,
  pattern = "218",
}

tile{
  layer = 0,
  x = 168,
  y = 200,
  width = 8,
  height = 32,
  pattern = "door.down.left_side",
}

tile{
  layer = 0,
  x = 152,
  y = 200,
  width = 16,
  height = 16,
  pattern = "2",
}

tile{
  layer = 0,
  x = 152,
  y = 216,
  width = 16,
  height = 16,
  pattern = "door.down.top_low",
}

tile{
  layer = 0,
  x = 40,
  y = 200,
  width = 112,
  height = 32,
  pattern = "wall.down.2",
}

tile{
  layer = 0,
  x = 144,
  y = 200,
  width = 8,
  height = 32,
  pattern = "door.down.right_side",
}

tile{
  layer = 0,
  x = 104,
  y = 80,
  width = 16,
  height = 16,
  pattern = "17",
}

tile{
  layer = 0,
  x = 128,
  y = 136,
  width = 16,
  height = 16,
  pattern = "ground1.2",
}

tile{
  layer = 0,
  x = 144,
  y = 128,
  width = 16,
  height = 16,
  pattern = "ground1.3",
}

tile{
  layer = 0,
  x = 184,
  y = 168,
  width = 16,
  height = 16,
  pattern = "290",
}

tile{
  layer = 0,
  x = 136,
  y = 168,
  width = 48,
  height = 16,
  pattern = "289",
}

tile{
  layer = 0,
  x = 120,
  y = 168,
  width = 16,
  height = 16,
  pattern = "288",
}

tile{
  layer = 0,
  x = 120,
  y = 184,
  width = 16,
  height = 16,
  pattern = "293",
}

tile{
  layer = 0,
  x = 136,
  y = 184,
  width = 48,
  height = 16,
  pattern = "292",
}

tile{
  layer = 0,
  x = 184,
  y = 80,
  width = 16,
  height = 16,
  pattern = "ground1.2",
}

tile{
  layer = 0,
  x = 168,
  y = 88,
  width = 16,
  height = 16,
  pattern = "ground1.3",
}

tile{
  layer = 0,
  x = 120,
  y = 24,
  width = 16,
  height = 16,
  pattern = "1",
}

tile{
  layer = 0,
  x = 144,
  y = 40,
  width = 120,
  height = 8,
  pattern = "27",
}

tile{
  layer = 0,
  x = 136,
  y = 40,
  width = 8,
  height = 8,
  pattern = "32",
}

tile{
  layer = 0,
  x = 120,
  y = 16,
  width = 16,
  height = 16,
  pattern = "door_stairs_down",
}

tile{
  layer = 0,
  x = 48,
  y = 40,
  width = 64,
  height = 8,
  pattern = "27",
}

tile{
  layer = 0,
  x = 40,
  y = 48,
  width = 8,
  height = 144,
  pattern = "28",
}

tile{
  layer = 0,
  x = 48,
  y = 192,
  width = 72,
  height = 8,
  pattern = "29",
}

tile{
  layer = 0,
  x = 192,
  y = 192,
  width = 80,
  height = 8,
  pattern = "29",
}

tile{
  layer = 0,
  x = 184,
  y = 184,
  width = 16,
  height = 16,
  pattern = "291",
}

tile{
  layer = 0,
  x = 272,
  y = 48,
  width = 8,
  height = 144,
  pattern = "30",
}

tile{
  layer = 0,
  x = 272,
  y = 192,
  width = 8,
  height = 8,
  pattern = "26",
}

tile{
  layer = 0,
  x = 40,
  y = 192,
  width = 8,
  height = 8,
  pattern = "25",
}

tile{
  layer = 0,
  x = 112,
  y = 40,
  width = 8,
  height = 8,
  pattern = "31",
}

tile{
  layer = 0,
  x = 40,
  y = 40,
  width = 8,
  height = 8,
  pattern = "23",
}

tile{
  layer = 0,
  x = 40,
  y = 48,
  width = 24,
  height = 16,
  pattern = "161",
}

tile{
  layer = 0,
  x = 136,
  y = 8,
